"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"PRKCE"	5.26280771419832e-27	-11.86027336203	0.543	0.69	1.92624025147373e-22	"0"	"PRKCE"
"TBL1XR1"	5.55545588768773e-27	-73.8319880047158	0.466	0.63	2.03335240945258e-22	"0"	"TBL1XR1"
"NRXN3"	5.93386574112013e-27	-188.901286150152	0.951	0.898	2.17185419990738e-22	"0"	"NRXN3"
"MAP4K4"	6.2504940786666e-27	-39.8098394984481	0.267	0.457	2.28774333773276e-22	"0"	"MAP4K4"
"FOXN3"	6.47356098248755e-27	-34.5972078725218	0.787	0.839	2.36938805520027e-22	"0"	"FOXN3"
"SPTBN1"	7.41121379977250e-27	-10.916803738283	0.392	0.576	2.71257836285473e-22	"0"	"SPTBN1"
"C8orf34"	7.66912944166721e-27	-16.5813870288547	0.062	0.234	2.80697806694462e-22	"0"	"C8orf34"
"PPM1H"	8.11282449723236e-27	-24.3675711725393	0.56	0.701	2.96937489423202e-22	"0"	"PPM1H"
"UVRAG"	8.11925984405032e-27	-3.90315907649827	0.259	0.463	2.97173029552086e-22	"0"	"UVRAG"
"PPM1L"	8.86990043487838e-27	-31.8804971029761	0.268	0.468	3.24647225816983e-22	"0"	"PPM1L"
"ASH1L"	8.87760032590379e-27	-21.3564520031673	0.689	0.812	3.24929049528404e-22	"0"	"ASH1L"
"ATRX"	9.42019506222956e-27	-9.0931302824502	0.678	0.8	3.44788559472664e-22	"0"	"ATRX"
"CNTN1"	9.48613555313628e-27	-63.3700884322913	0.732	0.809	3.47202047380341e-22	"0"	"CNTN1"
"USP34"	9.88969601256929e-27	-16.4867470797302	0.672	0.768	3.61972763756049e-22	"0"	"USP34"
"OLFM3"	1.06705074948482e-26	-23.2496455673135	0.309	0.493	3.90551244818939e-22	"0"	"OLFM3"
"VTI1A"	1.10033555815662e-26	-17.2131551255729	0.287	0.483	4.02733817640905e-22	"0"	"VTI1A"
"PCDH9"	1.10273321516678e-26	-312.850678277482	0.336	0.516	4.03611384083194e-22	"0"	"PCDH9"
"EHBP1"	1.45476779773837e-26	-39.6712189791572	0.546	0.699	5.3245956165022e-22	"0"	"EHBP1"
"HDAC9"	1.87735811497557e-26	-35.4577539676586	0.115	0.302	6.87131843662208e-22	"0"	"HDAC9"
"LRCH3"	1.93758913170331e-26	-14.8826587622405	0.368	0.573	7.0917699809473e-22	"0"	"LRCH3"
"MBNL1"	2.03766826759902e-26	-67.4660369066988	0.2	0.396	7.45806962623917e-22	"0"	"MBNL1"
"BABAM2"	2.12566979865087e-26	-22.4048844655298	0.214	0.408	7.78016403004204e-22	"0"	"BABAM2"
"RAPGEF2"	2.18655283368699e-26	-22.9435106083058	0.219	0.423	8.00300202657773e-22	"0"	"RAPGEF2"
"SOS1"	2.21433686462527e-26	-11.2624305212339	0.339	0.534	8.10469435821495e-22	"0"	"SOS1"
